Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R341,0402,100.900000mm,-52.600000mm,100.900000mm,-52.600000mm,100.900000mm,-52.100000mm,B,90,10k
C314,0402,50.800000mm,-57.100000mm,50.800000mm,-57.100000mm,51.300000mm,-57.100000mm,B,0,470n
R502,0402,48.800000mm,-44.900000mm,48.800000mm,-44.900000mm,48.800000mm,-44.400000mm,B,90,120
C418,0402,68.100000mm,-59.000000mm,68.100000mm,-59.000000mm,68.100000mm,-59.500000mm,B,-90,1n
C410,0402,62.100000mm,-51.100000mm,62.100000mm,-51.100000mm,62.100000mm,-50.600000mm,B,90,470n
C406,0402,62.300000mm,-49.500000mm,62.300000mm,-49.500000mm,61.800000mm,-49.500000mm,B,-180,220n
C409,0402,66.600000mm,-53.800000mm,66.600000mm,-53.800000mm,66.100000mm,-53.800000mm,B,-180,1n
R403,0402,68.800000mm,-53.900000mm,68.800000mm,-53.900000mm,68.800000mm,-53.400000mm,B,90,470
LED401,0603,59.500000mm,-51.900000mm,59.500000mm,-51.900000mm,59.500000mm,-51.150000mm,B,90,blue
C416,0402,61.100000mm,-54.500000mm,61.100000mm,-54.500000mm,61.600000mm,-54.500000mm,B,0,470n
C413,0603,65.500000mm,-59.100000mm,65.500000mm,-59.100000mm,66.250000mm,-59.100000mm,B,0,10u
R402,0402,66.600000mm,-52.800000mm,66.600000mm,-52.800000mm,67.100000mm,-52.800000mm,B,0,4.7k
C405,0402,67.500000mm,-50.200000mm,67.500000mm,-50.200000mm,67.500000mm,-49.700000mm,B,90,330p
C402,0402,68.600000mm,-51.400000mm,68.600000mm,-51.400000mm,68.600000mm,-50.900000mm,B,90,330p
C408,0402,66.600000mm,-54.800000mm,66.600000mm,-54.800000mm,66.100000mm,-54.800000mm,B,-180,220n
C401,0402,66.600000mm,-51.800000mm,66.600000mm,-51.800000mm,66.100000mm,-51.800000mm,B,-180,220n
C407,0402,67.900000mm,-56.300000mm,67.900000mm,-56.300000mm,67.900000mm,-56.800000mm,B,-90,330p
C412,0402,65.400000mm,-55.900000mm,65.400000mm,-55.900000mm,65.046450mm,-55.546450mm,B,135,220n
C403,0402,65.800000mm,-50.700016mm,65.800000mm,-50.700016mm,65.390450mm,-50.986800mm,B,-145,220n
C404,0402,64.100000mm,-50.800000mm,64.100000mm,-50.800000mm,64.229450mm,-50.317000mm,B,75,470n
C417,0402,63.100000mm,-55.900000mm,63.100000mm,-55.900000mm,63.100000mm,-55.400000mm,B,90,220n
R406,0402,62.700000mm,-59.100000mm,62.700000mm,-59.100000mm,62.950000mm,-59.532968mm,B,-60,50
L404,0603,64.800000mm,-59.100000mm,64.800000mm,-59.100000mm,64.800000mm,-59.850000mm,T,270,rffb
L403,0603,63.100000mm,-59.100000mm,63.100000mm,-59.100000mm,63.100000mm,-59.850000mm,T,270,rffb
C414,0402,63.900000mm,-57.700000mm,63.900000mm,-57.700000mm,64.283000mm,-57.378597mm,B,40,220n
R405,0402,59.200000mm,-56.200000mm,59.200000mm,-56.200000mm,59.200000mm,-56.700000mm,B,-90,120
C415,0402,60.800400mm,-56.291300mm,60.800400mm,-56.291300mm,61.298500mm,-56.334850mm,B,-5,10n
C411,0402,60.000000mm,-57.600000mm,60.000000mm,-57.600000mm,59.546850mm,-57.811300mm,B,-155,470n
R404,0402,60.000000mm,-59.400000mm,60.000000mm,-59.400000mm,60.000000mm,-59.900000mm,B,-90,470
R401,0402,59.600000mm,-49.600000mm,59.600000mm,-49.600000mm,60.083000mm,-49.470550mm,B,15,2.2k
G301,shield_15.6_14.6,47.500000mm,-55.500000mm,47.500000mm,-55.500000mm,47.500000mm,-48.200000mm,T,0,unknown
C306,0603,41.900000mm,-54.500000mm,41.900000mm,-54.500000mm,41.900000mm,-55.250000mm,B,-90,10u
C311,0402,49.900000mm,-49.900000mm,49.900000mm,-49.900000mm,49.400000mm,-49.900000mm,B,-180,470n
R314,0402,43.400000mm,-53.500000mm,43.400000mm,-53.500000mm,43.400000mm,-53.000000mm,B,90,75
C309,0402,46.500000mm,-52.100000mm,46.500000mm,-52.100000mm,47.000000mm,-52.100000mm,B,0,470n
C310,0402,45.500000mm,-54.200000mm,45.500000mm,-54.200000mm,45.500000mm,-54.700000mm,B,-90,470n
R315,0402,47.400000mm,-49.900000mm,47.400000mm,-49.900000mm,47.900000mm,-49.900000mm,B,0,2.2k
C308,0402,48.000000mm,-51.000000mm,48.000000mm,-51.000000mm,48.500000mm,-51.000000mm,B,0,330p
R319,0603,50.300000mm,-55.000000mm,50.300000mm,-55.000000mm,50.300000mm,-54.250000mm,B,90,10
